date,average_temperature,precipitation_sum,wind_speed_10m_max,sunshine_duration,snowfall_sum,CollisionCount
2013/1/1,6.05,0.2,18.1,22640.7,0,1
2013/1/2,6.45,0.1,18.3,0,0,7
2013/1/3,10.45,0,19.8,0,0,4
2013/1/4,8.75,0,16.3,0,0,6
2013/1/5,8.5,0,14.8,33.92,0,8
2013/1/6,6.9,0,11,0,0,3
2013/1/7,7.65,0,15.2,2896.7,0,8
2013/1/8,9.05,2.1,17,1615.85,0,9
2013/1/9,4.8,3.5,13.7,15448.89,0,7
2013/1/10,2.2,0,9.5,1698.52,0,9
2013/1/11,3.25,0,11.2,15796.86,0,6
2013/1/12,2.75,3.4,22.3,914.95,0.14,3
2013/1/13,0.4,0,16.5,23544.89,0,3
2013/1/14,0.15,4.2,22.5,312.98,2.17,6
2013/1/15,-0.2,0.1,24.2,22053.19,0.14,9
2013/1/16,-1.55,0,8.6,20532,0,11
2013/1/17,-1.9,0,12.2,14951.58,0,8
2013/1/18,-1.55,4.8,21.7,0,3.5,3
2013/1/19,-0.05,0.4,19.2,6532.88,0.63,1
2013/1/20,-1.35,5,17.3,0,3.78,0
2013/1/21,-1.4,0,9.2,13449.26,0.28,0
2013/1/22,-1.95,1.1,22.2,786.41,0.77,3
2013/1/23,0.95,1,20.6,0,1.19,6
2013/1/24,-0.25,0,13.4,22414.22,0,4
2013/1/25,-1.8,0,24.5,10773.08,0,5
2013/1/26,3.65,5,31.5,23845.91,1.61,0
2013/1/27,6.85,3.9,32.6,25200,0,1
2013/1/28,5.95,2.6,40.4,9445.15,0,6
2013/1/29,10.45,1.8,34,0,0,14
2013/1/30,9.25,4.5,35.5,27861.17,0,9
2013/1/31,8.05,1.2,34.9,27737.55,0,10
2013/2/1,4.45,3.4,20.9,8757.38,0,7
2013/2/2,1.7,0,25.3,28504.57,0,4
2013/2/3,2.8,0,23.9,46.98,0,1
2013/2/4,7.25,0,30.7,28506.63,0,3
2013/2/5,3.35,2.5,31.9,27019.11,0.21,12
2013/2/6,3.35,1,31.1,28598,0,13
2013/2/7,2.35,1,22.5,20026.52,0,4
2013/2/8,1.5,0,17.1,24015.86,0,4
2013/2/9,1.5,0,14.5,15559.85,0.07,6
2013/2/10,2.5,12.3,26.3,0,2.59,6
2013/2/11,1.5,5.3,19.2,3007.6,3.22,6
2013/2/12,1.15,0,14.8,9760,0,10
2013/2/13,0.5,1.2,23.4,4992.37,0.91,10
2013/2/14,6.5,7.1,25,27909.25,0,4
2013/2/15,4.5,0,13.5,30016.89,0,7
2013/2/16,5.8,0,6.9,28892.18,0,4
2013/2/17,3.45,0,15.4,31802.79,0,2
2013/2/18,3.6,0,14,32303.5,0,6
2013/2/19,1.85,0,10.6,19469.2,0,7
2013/2/20,1.3,0,21.4,20115.66,0,8
2013/2/21,0.7,0,21.9,5746.32,0,5
2013/2/22,0.25,0,24.3,24658.68,0,4
2013/2/23,0.55,0,21.4,10869.99,0.07,3
2013/2/24,0.8,0.2,24.9,28361.94,0.07,1
2013/2/25,2.25,0,21.3,2734.61,0,3
2013/2/26,3.55,0,21.6,0,0,4
2013/2/27,3.15,0,19.5,3804.37,0,5
2013/2/28,4.3,0.9,20.1,20924.39,0,7
2013/3/1,4.1,0,19.2,19487.25,0,2
2013/3/2,2.2,0,11.8,32244.68,0,3
2013/3/3,2.3,0,15.6,26974.07,0,1
2013/3/4,3.95,0,15.5,35487.35,0,10
2013/3/5,6.45,0,10.4,35715.99,0,7
2013/3/6,7.5,0.7,13.7,11035.64,0,9
2013/3/7,8.2,3.3,13.1,0,0,4
2013/3/8,8.65,6.9,13.6,0,0,5
2013/3/9,4.85,0.3,13.3,0,0,2
2013/3/10,2,0.1,25.5,11211.32,0.14,2
2013/3/11,-0.2,0,36.8,6349,0.63,5
2013/3/12,0.45,0,32.4,28566.93,0.07,11
2013/3/13,2.2,0.1,18.6,37676,0.07,6
2013/3/14,1.15,0.3,12.4,34755.97,0,6
2013/3/15,3.85,5.9,30.8,9974.63,0.56,9
2013/3/16,6.05,8.7,33.5,13733.5,0,2
2013/3/17,4.3,8.4,20.3,6011.7,0,2
2013/3/18,3.4,4.4,8.2,30486.22,0,11
2013/3/19,3.75,2.2,9.7,29438.16,0,8
2013/3/20,3.35,1.9,14.6,33910.21,0,8
2013/3/21,2.8,0.1,24.1,17177.39,0,5
2013/3/22,3.4,7.4,29.9,7360.04,0.91,6
2013/3/23,1.55,6.5,27,0,3.01,0
2013/3/24,0.05,0,27.1,0,0.84,3
2013/3/25,0.4,0,26.8,833.11,0,5
2013/3/26,0.3,0,22.6,7161.64,0.07,7
2013/3/27,0.75,0.1,19.1,39377.03,0,8
2013/3/28,0.95,0.1,20.8,36434.91,0,6
2013/3/29,-0.1,0,19,22493.6,0,5
2013/3/30,1.5,0.3,19.1,39307.41,0,0
2013/3/31,0.2,0,16.5,24604.86,0,1
2013/4/1,1.95,0,27.8,24612.53,0,2
2013/4/2,2.95,0,23.7,42856.43,0,14
2013/4/3,1.6,0,30,35983.73,0,2
2013/4/4,1.8,1.8,29.8,41162.59,0.63,6
2013/4/5,3.6,0.6,30.6,32275.91,0,8
2013/4/6,3.35,0,19,38769.38,0,1
2013/4/7,3.3,0,14.5,35129.75,0,1
2013/4/8,5.15,0,18.4,31919.85,0,5
2013/4/9,4.6,2,18.9,861.16,0,11
2013/4/10,6.5,3.7,21.3,25179.97,0,15
2013/4/11,7.8,4.9,20.9,9207.28,0,6
2013/4/12,8.55,7.2,21.1,21380.79,0,3
2013/4/13,7.3,5.5,29.2,19919.08,0,2
2013/4/14,14.05,0.5,28.7,42911.97,0,4
2013/4/15,11.1,0,27.1,32318.8,0,3
2013/4/16,11.15,0,30,36726.85,0,8
2013/4/17,11.6,0,30,18523.5,0,12
2013/4/18,9.6,1.1,41.4,46648.28,0,17
2013/4/19,8.45,1.9,22.9,39811.86,0,18
2013/4/20,5.55,0,11.9,47070.95,0,6
2013/4/21,6.8,0,16.6,47280.41,0,7
2013/4/22,9.05,0,21.6,26033.43,0,8
2013/4/23,14.15,0,16.7,44754.04,0,11
2013/4/24,11.7,0.4,19.8,31058.66,0,13
2013/4/25,14.3,0,18.8,45600.24,0,13
2013/4/26,7.9,8.1,18.3,33956.55,0,11
2013/4/27,6.3,1.9,18.9,45882.47,0,5
2013/4/28,5.55,0,22.2,35832.46,0,6
2013/4/29,8.8,0.8,21.2,44607.69,0,8
